x,y,vx,vy
-2.964978785689354,0.01265151280916924,4.48828587642733,1.6200544305039335
-2.964529961247486,0.012813513216367325,4.488244424404401,1.6200040704908492
-2.9640811409491032,0.01297550858711713,4.488202989544247,1.619953706007013
-2.9636323247924907,0.01313749892097127,4.4881615718420225,1.6199033370493663
-2.963183512775933,0.013299484217482062,4.4881201712928815,1.61985296361485
-2.9627347048977155,0.01346146447620151,4.488078787891972,1.6198025857004044
-2.9622859011561236,0.013623439696681316,4.488037421634437,1.619752203302969
-2.961837101549443,0.013785409878472876,4.487996072515418,1.619701816419483
-2.9613883060759614,0.013947375021127278,4.487954740530052,1.6196514250468852
-2.960939514733965,0.014109335124195306,4.487913425673468,1.6196010291821132
-2.9604907275217416,0.014271290187227434,4.487872127940796,1.6195506288221047
